Field,Subfield,Topic,Description
Cyber Security,Overview,Description,Cyber Security is the practice of protecting systems and networks from digital attacks.
Cyber Security,Overview,Why,Cyber Security offers a high-demand career protecting data and infrastructure from evolving digital threats.
Cyber Security,Concepts,Firewall,A firewall is a security system that monitors and controls network traffic.
Cyber Security,Concepts,Phishing,Phishing is a fraudulent attempt to obtain sensitive information by disguising as a trustworthy entity.
Cyber Security,Concepts,Encryption,Encryption is the method of converting data into a coded format to prevent unauthorized access.
Cyber Security,Concepts,Ethical Hacking,Ethical hacking is authorized testing to find and fix security vulnerabilities.
Cyber Security,Concepts,VPN,A Virtual Private Network (VPN) creates a secure connection over the internet.
Cyber Security,Concepts,DDoS,A Distributed Denial-of-Service (DDoS) attack overwhelms a system to disrupt service.
Cyber Security,Concepts,Antivirus,Antivirus software detects and removes malicious software from devices.
Cyber Security,Concepts,Two Factor Authentication,Two-factor authentication (2FA) adds an extra layer of security by requiring two forms of identification.
Cyber Security,Concepts,Social Engineering,Social engineering manipulates individuals to disclose sensitive information.
Cyber Security,Concepts,Cryptography,Cryptography secures information through encoding techniques.
Cyber Security,Concepts,Intrusion Detection System,An IDS monitors networks for suspicious activity.
Cyber Security,Concepts,Patch Management,Patch management involves updating software to fix vulnerabilities.
Cyber Security,Concepts,Ransomware,Ransomware encrypts data and demands payment for access.
Cyber Security,Concepts,Spyware,Spyware secretly collects user information without consent.
Cyber Security,Concepts,Trojan Horse,A Trojan horse disguises malware as legitimate software.
Cyber Security,Concepts,Worm,A worm is self-replicating malware that spreads across networks.
Cyber Security,Concepts,Keylogger,A keylogger records keystrokes to steal sensitive information.
Cyber Security,Concepts,Hashing,Hashing converts data into a fixed-length string for security.
Cyber Security,Concepts,SSL,Secure Sockets Layer (SSL) encrypts data for secure online communication.
Cyber Security,Concepts,TLS,Transport Layer Security (TLS) is an updated version of SSL.
Cyber Security,Concepts,Penetration Testing,Penetration testing simulates attacks to identify vulnerabilities.
Cyber Security,Concepts,Zero Day Exploit,A zero-day exploit targets unknown software vulnerabilities.
Cyber Security,Concepts,Brute Force Attack,A brute force attack tries multiple password combinations.
Cyber Security,Concepts,Man in the Middle Attack,A MITM attack intercepts communication between two parties.
Cyber Security,Concepts,SQL Injection,SQL injection inserts malicious code into database queries.
Cyber Security,Concepts,Cross Site Scripting,XSS injects malicious scripts into trusted websites.
Cyber Security,Concepts,Security Policy,A security policy outlines rules to protect organizational assets.
Cyber Security,Concepts,Biometric Authentication,Biometric authentication uses physical traits like fingerprints for access.
Cyber Security,Concepts,Network Segmentation,Network segmentation divides networks to limit attack spread.
Cyber Security,Concepts,Incident Response,Incident response is a plan to address security breaches.
Cyber Security,Concepts,Data Breach,A data breach is unauthorized access to sensitive information.
Cyber Security,Concepts,Dark Web,The dark web is a hidden internet layer often used for illegal activities.
Cyber Security,Concepts,Endpoint Security,Endpoint security protects devices like laptops and phones.
Machine Learning,Overview,Description,Machine Learning is a field of AI that allows computers to learn from data without being explicitly programmed.
Machine Learning,Concepts,AI,Artificial Intelligence (AI) is the simulation of human intelligence in machines.
Machine Learning,Concepts,Supervised Learning,Supervised learning uses labeled data to train models.
Machine Learning,Concepts,Unsupervised Learning,Unsupervised learning finds hidden patterns or intrinsic structures in data.
Machine Learning,Concepts,Reinforcement Learning,Reinforcement learning is based on agents learning by reward or punishment.
Machine Learning,Concepts,Overfitting,Overfitting happens when a model performs well on training data but poorly on new data.
Machine Learning,Concepts,Deep Learning,A subset of ML using neural networks with many layers to learn from large data.
Machine Learning,Concepts,Feature Engineering,Feature engineering creates or selects relevant input variables.
Machine Learning,Concepts,Cross Validation,Cross-validation assesses model performance on different data subsets.
Machine Learning,Concepts,Bias Variance Tradeoff,Bias-variance tradeoff balances model complexity and generalization.
Machine Learning,Concepts,Gradient Descent,Gradient descent optimizes model parameters by minimizing errors.
Machine Learning,Concepts,Hyperparameter Tuning,Hyperparameter tuning adjusts settings to improve model performance.
Machine Learning,Concepts,Confusion Matrix,A confusion matrix summarizes classification model performance.
Machine Learning,Concepts,Precision,Precision measures the proportion of correct positive predictions.
Machine Learning,Concepts,Recall,Recall measures the proportion of actual positives correctly identified.
Machine Learning,Concepts,F1 Score,F1 score is the harmonic mean of precision and recall.
Machine Learning,Concepts,Clustering,Clustering groups similar data points without labels.
Machine Learning,Concepts,Dimensionality Reduction,Dimensionality reduction simplifies data while retaining key information.
Machine Learning,Concepts,PCA,Principal Component Analysis (PCA) reduces data dimensions.
Machine Learning,Concepts,Regression,Regression predicts continuous numerical outcomes.
Machine Learning,Concepts,Classification,Classification predicts categorical outcomes.
Machine Learning,Concepts,Ensemble Learning,Ensemble learning combines multiple models for better results.
Machine Learning,Concepts,Bagging,Bagging reduces variance by training models on random data subsets.
Machine Learning,Concepts,Boosting,Boosting improves weak models by focusing on errors.
Machine Learning,Concepts,Regularization,Regularization prevents overfitting by penalizing complexity.
Machine Learning,Concepts,Decision Tree,Decision Trees split data based on feature conditions.
Machine Learning,Concepts,Random Forest,Random Forest is an ensemble of decision trees.
Machine Learning,Concepts,SVM,Support Vector Machine (SVM) finds the best hyperplane for classification.
Machine Learning,Concepts,KNN,K-Nearest Neighbors (KNN) classifies based on closest data points.
Machine Learning,Concepts,Linear Regression,Linear Regression models relationships between variables.
Machine Learning,Concepts,Logistic Regression,Logistic Regression predicts binary outcomes.
Machine Learning,Concepts,Neural Network,Neural Networks mimic human brain for complex pattern recognition.
Machine Learning,Concepts,A Star,A* (A Star) is a pathfinding algorithm using heuristics for optimal routes.
Machine Learning,Concepts,AO Star,AO* is a heuristic search algorithm for AND-OR graphs.
Machine Learning,Concepts,Naive Bayes,Naive Bayes uses probability for classification tasks.
Machine Learning,Concepts,Gradient Boosting,Gradient Boosting builds models sequentially to minimize errors.
Machine Learning,Concepts,XGBoost,XGBoost is an optimized gradient boosting algorithm.
Machine Learning,Concepts,LightGBM,LightGBM is a fast gradient boosting framework.
Machine Learning,Concepts,CatBoost,CatBoost handles categorical features efficiently.
Machine Learning,Concepts,K Means,K-Means clusters data into K groups based on similarity.
Machine Learning,Concepts,DBSCAN,DBSCAN clusters data based on density.
Machine Learning,Concepts,Hierarchical Clustering,Hierarchical clustering builds a tree of clusters.
Machine Learning,Concepts,Apriori,Apriori finds frequent itemsets in transactional data.
Machine Learning,Concepts,Markov Decision Process,MDP models decision-making in reinforcement learning.
Machine Learning,Concepts,Q Learning,Q-Learning is a model-free reinforcement learning algorithm.
Data Science,Overview,Description,Data Science is an interdisciplinary field focusing on extracting knowledge and insights from data.
Data Science,Concepts,Data Wrangling,Data wrangling is the process of cleaning and transforming raw data into usable format.
Data Science,Concepts,Data Pipeline,A data pipeline automates the flow of data from source to analysis.
Data Science,Concepts,EDA,Exploratory Data Analysis summarizes data characteristics through visualization.
Data Science,Concepts,Big Data,Big data involves massive datasets requiring distributed storage and processing.
Data Science,Concepts,Data Mining,Data mining involves finding patterns and relationships in large datasets.
Data Science,Concepts,Data Visualization,Data visualization helps understand data trends through charts and graphs.
Data Science,Concepts,Hadoop,Hadoop is a framework for distributed storage and processing.
Data Science,Concepts,Spark,Apache Spark is a fast engine for big data processing.
Data Science,Concepts,SQL,SQL is a language for querying and managing databases.
